comment,star
"Cực kì phế vật,xạc đc 60% hết cở trong khi giới thịu là 10000mah mà máy tôi chỉ có 5000mah",1
"Kb do số e thế nào chứ là
Học sinh cắt ruột ra để mua đc cục sạc dự phòng mà về lại sạc đc 30' hết điện sạc vào thì 3 tiếng ch đầy quá thất vọng và sót tiền",1
Đặt 2 sp pin dự phòng và cap sạc nhưng chỉ giao có mỗi pin dự phòng. Và tính tiền đủ 2 sp,1
"Chất lượng quá là tệ. Sạc đầy cho cục sạc dự phòng thì mất khoảng 12 tiếng. Đến khi lấy sạc dp qua sạc cho đth thì chưa tới 2,5h đã hết pin rồi. Biết là hàng rẻ nhưng cùng giá này đã có nhiều loại sạc có thể sạc đầy lần1, lần2 còn dùng được nữa. Còn đằng này sạc lần1 chưa đủ đầy pin, k còn gì để nói",1
"Bảo nạp từ 6-8 tiếng mà từ 19h tối hôm trước đến 15h25 chiều hôm sau vẫn như thế kia, dùng thì nhanh hết lúc mới về còn bị hở chỗ màn hình cơ, nhẹ lọc xọc, tối nay mà vẫn chưa đầy em để xuống 1*",1
Chất lượng sản phẩm k tốt xạc lâu đầy pin mà dùng được có tí,1
Sau một thời gian dùng thì cảm thấy sạc dự phòng quá tệ. Sạc cho sạc dự phòng thì rất lâu mà dùng thì chả đc bao nhiêu,1
Quá tệ sạc ko đc 2 tiếng hết ko bằng cục sạc dự phòng 7500mah của tôi nữa nó cùi thật sự mọi người đừng nên mua,1
"Sản phẩm ko dc như quảng cáo Pin chắc dc 5000, sạc thì chậm",1
"Như mng thấy,nút ko bấm đc,hỏng,sạc thì lỏng lẻo,đầu type C input lúc đc lúc ko,sạc nhanh hết pin mà lỏng lẻo?????lắm lúc còn tự nhiên sáng?ủa ai khiến z????lúc bật thì ko có,ko bật thì lại lên??",1
"Sạc rất tệ, chưa sạc đầy điện thoại đã hết pin. Rất thất vọng. Mọi người không nên mua",1
Pin có ghi thông số là hỗ trợ sạc nhanh nhưng ko hề có. Nhắn tin hỏi shop trc đặt hàng thì toàn là auto rep hệ thống.,1
Giao hàng nhanh nhưng pin 10k mà chắc không đến 10k chán quá,1
